Address,City,State,Zip,links
7226 S King Dr,Chicago,IL,60619,"https://www.zillow.com/homes/7226-S-King-Dr,Chicago-IL-60619_rb"
7728 S Green St #1,Chicago,IL,60620,"https://www.zillow.com/homes/7728-S-Green-St-#1,Chicago-IL-60620_rb"
3236 W 139th St,Robbins,IL,60472,"https://www.zillow.com/homes/3236-W-139th-St,Robbins-IL-60472_rb"
1924 Kenilworth Ave,Berwyn,IL,60402,"https://www.zillow.com/homes/1924-Kenilworth-Ave,Berwyn-IL-60402_rb"
7141 S University Ave,Chicago,IL,60619,"https://www.zillow.com/homes/7141-S-University-Ave,Chicago-IL-60619_rb"
7122 S Rhodes Ave #1,Chicago,IL,60619,"https://www.zillow.com/homes/7122-S-Rhodes-Ave-#1,Chicago-IL-60619_rb"
8031 Houston,,IL,,"https://www.zillow.com/homes/8031-Houston,-IL-_rb"
626 Ingraham Ave,Calumet City,IL,60409,"https://www.zillow.com/homes/626-Ingraham-Ave,Calumet-City-IL-60409_rb"
8706 S Commercial Ave,Chicago,IL,60617,"https://www.zillow.com/homes/8706-S-Commercial-Ave,Chicago-IL-60617_rb"
6326 S Morgan St,Chicago,IL,60621,"https://www.zillow.com/homes/6326-S-Morgan-St,Chicago-IL-60621_rb"
7600 S Winchester Ave,Chicago,IL,60620,"https://www.zillow.com/homes/7600-S-Winchester-Ave,Chicago-IL-60620_rb"
321 W 151st Pl,Harvey,IL,60426,"https://www.zillow.com/homes/321-W-151st-Pl,Harvey-IL-60426_rb"
4100 W Eddy St #1,Chicago,IL,60641,"https://www.zillow.com/homes/4100-W-Eddy-St-#1,Chicago-IL-60641_rb"
1922 N Kildare Ave,Chicago,IL,60639,"https://www.zillow.com/homes/1922-N-Kildare-Ave,Chicago-IL-60639_rb"
8115 S Burnham Ave,Chicago,IL,60617,"https://www.zillow.com/homes/8115-S-Burnham-Ave,Chicago-IL-60617_rb"
5907 W 103rd St,Oak Lawn,IL,60453,"https://www.zillow.com/homes/5907-W-103rd-St,Oak-Lawn-IL-60453_rb"
554 Gregory Dr,Chicago Heights,IL,60411,"https://www.zillow.com/homes/554-Gregory-Dr,Chicago-Heights-IL-60411_rb"
